What is your age?,What is your gender?,In which area do you stay in western line in Mumbai?,Your yearly income in INR,Do you own a house?,Where is your house located?,What is the carpet area of your current house in square feet?,How many rooms do you have?,What is the current price of your house in INR?,c_Car Parking,c_24hr Water Supply,c_Maintenance Staff,c_Gas Pipeline,c_Lift,c_Club house,c_24Hr Security,c_Gym,c_School,c_College,c_Hospitals,c_Medical,c_Railway Station,c_Market,Are you planning to buy a new house in Mumbai(Western Line)?,Would you take a housing loan if you had to buy a house?,In which area you would like to buy a new house in Mumbai(Western Line) if you had to?,What type of house you would look for if you had to buy a house?,What would be your budget if you had to buy a house?,How much carpet area would you want(square feet) if you had to buy a house?,How many rooms do you want if you had to buy a house?,If you had to buy a house what would you buy?,n_Car Parking,n_24hr Water Supply,n_Maintenance Staff,n_Gas Pipeline,n_Lift,n_Club house,n_24Hr Security,n_Gym,n_School,n_College,n_Hospitals,n_Medical,n_Railway Station,n_Market
56 - 65,Male,Borivali,11lakh and above,Yes,Building,1670,3 BHK,25000000,"Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market",No,Yes,Churchgate,Building,4Cr - 5Cr,1500,3 BHK,New House,"Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market"
46 - 55,Female,Borivali,5lakh - 7lakh,Yes,Building,700,1 BHK,8200000,"Car Parking, Maintenance Staff, Lift","Car Parking, Maintenance Staff, Lift","Car Parking, Maintenance Staff, Lift","Car Parking, Maintenance Staff, Lift","Car Parking, Maintenance Staff, Lift","Car Parking, Maintenance Staff, Lift","Car Parking, Maintenance Staff, Lift","Car Parking, Maintenance Staff, Lift","Railway Station, Market","Railway Station, Market","Railway Station, Market","Railway Station, Market","Railway Station, Market","Railway Station, Market",No,Yes,Santacruz,Building,80lakh-90lakh,800,2 BHK,Resale House,"Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Hospitals, Medical, Market","Hospitals, Medical, Market","Hospitals, Medical, Market","Hospitals, Medical, Market","Hospitals, Medical, Market","Hospitals, Medical, Market"
25 - 35,Male,Borivali,5lakh - 7lakh,No,,,,,,,,,,,,,,,,,,,Yes,Yes,Bhayandar,Building,1Cr - 2Cr,1100,2 BHK,Resale House,"Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Medical, Railway Station, Market","Medical, Railway Station, Market","Medical, Railway Station, Market","Medical, Railway Station, Market","Medical, Railway Station, Market","Medical, Railway Station, Market"
36 - 45,Female,Churchgate,11lakh and above,Yes,Building,450,1 BHK,7820000,"Car Parking, 24hr Water Supply, Maintenance Staff, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Lift, 24Hr Security","School, College, Market","School, College, Market","School, College, Market","School, College, Market","School, College, Market","School, College, Market",No,Yes,Borivali,Bungalow,1Cr - 2Cr,5000,4 BHK,Resale House,"Car Parking, 24hr Water Supply, Gas Pipeline","Car Parking, 24hr Water Supply, Gas Pipeline","Car Parking, 24hr Water Supply, Gas Pipeline","Car Parking, 24hr Water Supply, Gas Pipeline","Car Parking, 24hr Water Supply, Gas Pipeline","Car Parking, 24hr Water Supply, Gas Pipeline","Car Parking, 24hr Water Supply, Gas Pipeline","Car Parking, 24hr Water Supply, Gas Pipeline","College, Hospitals, Medical, Railway Station, Market","College, Hospitals, Medical, Railway Station, Market","College, Hospitals, Medical, Railway Station, Market","College, Hospitals, Medical, Railway Station, Market","College, Hospitals, Medical, Railway Station, Market","College, Hospitals, Medical, Railway Station, Market"
46 - 55,Male,Dadar,9lakh - 11lakh,Yes,Building,1240,2 BHK,37500000,"Car Parking, Lift, Club house, 24Hr Security, Gym","Car Parking, Lift, Club house, 24Hr Security, Gym","Car Parking, Lift, Club house, 24Hr Security, Gym","Car Parking, Lift, Club house, 24Hr Security, Gym","Car Parking, Lift, Club house, 24Hr Security, Gym","Car Parking, Lift, Club house, 24Hr Security, Gym","Car Parking, Lift, Club house, 24Hr Security, Gym","Car Parking, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market",No,No,Mahim,Building,3Cr - 4Cr,815,2 BHK,New House,"24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market"
36 - 45,Female,Dadar,5lakh - 7lakh,Yes,Building,980,2 BHK,34500000,"Car Parking, 24hr Water Supply, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market",No,Yes,Dadar,Building,3Cr - 4Cr,1200,2 BHK,Resale House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market"
46 - 55,Male,Dadar,7lakh - 9lakh,Yes,Building,1240,2 BHK,39000000,"Car Parking, Lift, Club house, 24Hr Security, Gym","Car Parking, Lift, Club house, 24Hr Security, Gym","Car Parking, Lift, Club house, 24Hr Security, Gym","Car Parking, Lift, Club house, 24Hr Security, Gym","Car Parking, Lift, Club house, 24Hr Security, Gym","Car Parking, Lift, Club house, 24Hr Security, Gym","Car Parking, Lift, Club house, 24Hr Security, Gym","Car Parking, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market",No,No,Matunga Road,Building,4Cr - 5Cr,1350,2 BHK,New House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market"
56 - 65,Male,Dadar,9lakh - 11lakh,Yes,Building,980,2 BHK,39000000,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market",No,No,Borivali,Bungalow,3Cr - 4Cr,2000,4 BHK,New House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market"
36 - 45,Male,Dadar,11lakh and above,Yes,Building,2350,4 BHK,68000000,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market",No,Yes,Marine Lines,Building,6Cr - 7Cr,3000,4 BHK,Resale House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market"
25 - 35,Female,Dadar,7lakh - 9lakh,Yes,Building,350,1 BHK,5500000,"Car Parking, Maintenance Staff, Lift","Car Parking, Maintenance Staff, Lift","Car Parking, Maintenance Staff, Lift","Car Parking, Maintenance Staff, Lift","Car Parking, Maintenance Staff, Lift","Car Parking, Maintenance Staff, Lift","Car Parking, Maintenance Staff, Lift","Car Parking, Maintenance Staff, Lift","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market",Yes,Yes,Virar,Building,50lakh - 60lakh,600,2 BHK,New House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market"
25 - 35,Male,Dadar,11lakh and above,No,,,,28000000,"Car Parking, 24hr Water Supply","Car Parking, 24hr Water Supply","Car Parking, 24hr Water Supply","Car Parking, 24hr Water Supply","Car Parking, 24hr Water Supply","Car Parking, 24hr Water Supply","Car Parking, 24hr Water Supply","Car Parking, 24hr Water Supply","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market",Yes,Yes,Dadar,Building,1Cr - 2Cr,1000,3 BHK,New House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market"
56 - 65,Male,Dadar,5lakh - 7lakh,Yes,Building,600,2 BHK,35000000,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market",No,Yes,Dadar,Building,90lakh- 1Cr,600,1 RK,New House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market"
25 - 35,Male,Dadar,5lakh - 7lakh,Yes,Building,567,1 BHK,9500000,"24hr Water Supply, 24Hr Security","24hr Water Supply, 24Hr Security","24hr Water Supply, 24Hr Security","24hr Water Supply, 24Hr Security","24hr Water Supply, 24Hr Security","24hr Water Supply, 24Hr Security","24hr Water Supply, 24Hr Security","24hr Water Supply, 24Hr Security","Hospitals, Railway Station","Hospitals, Railway Station","Hospitals, Railway Station","Hospitals, Railway Station","Hospitals, Railway Station","Hospitals, Railway Station",Yes,No,Mahalaxmi,Bungalow,70lakh-80lakh,6787,1 BHK,New House,"Gas Pipeline, Club house, 24Hr Security","Gas Pipeline, Club house, 24Hr Security","Gas Pipeline, Club house, 24Hr Security","Gas Pipeline, Club house, 24Hr Security","Gas Pipeline, Club house, 24Hr Security","Gas Pipeline, Club house, 24Hr Security","Gas Pipeline, Club house, 24Hr Security","Gas Pipeline, Club house, 24Hr Security","School, College, Medical","School, College, Medical","School, College, Medical","School, College, Medical","School, College, Medical","School, College, Medical"
36 - 45,Female,Dahisar,5lakh - 7lakh,Yes,Building,566,1 BHK,6500000,"Gas Pipeline, Lift","Gas Pipeline, Lift","Gas Pipeline, Lift","Gas Pipeline, Lift","Gas Pipeline, Lift","Gas Pipeline, Lift","Gas Pipeline, Lift","Gas Pipeline, Lift","Railway Station, Market","Railway Station, Market","Railway Station, Market","Railway Station, Market","Railway Station, Market","Railway Station, Market",No,Yes,Mira Road,Building,70lakh-80lakh,650,2 BHK,Resale House,"Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market"
46 - 55,Male,Dahisar,7lakh - 9lakh,Yes,Building,450,1 RK,5000000,"Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market",No,Yes,Vasai Road,Building,70lakh-80lakh,1107,3 BHK,Resale House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market"
56 - 65,Male,Dahisar,7lakh - 9lakh,Yes,Building,790,2 BHK,9000000,"Car Parking, Maintenance Staff, Lift","Car Parking, Maintenance Staff, Lift","Car Parking, Maintenance Staff, Lift","Car Parking, Maintenance Staff, Lift","Car Parking, Maintenance Staff, Lift","Car Parking, Maintenance Staff, Lift","Car Parking, Maintenance Staff, Lift","Car Parking, Maintenance Staff, Lift","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market",No,No,Borivali,Building,80lakh-90lakh,550,1 BHK,New House,"Car Parking, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market"
56 - 65,Male,Dahisar,1lakh - 3lakh,Yes,Chawl,230,1 BHK,2300000,None of the above,None of the above,None of the above,None of the above,None of the above,None of the above,None of the above,None of the above,"School, Hospitals, Medical, Railway Station, Market","School, Hospitals, Medical, Railway Station, Market","School, Hospitals, Medical, Railway Station, Market","School, Hospitals, Medical, Railway Station, Market","School, Hospitals, Medical, Railway Station, Market","School, Hospitals, Medical, Railway Station, Market",No,Yes,Borivali,Chawl,20lakh - 30lakh,250,1 RK,Resale House,Car Parking,Car Parking,Car Parking,Car Parking,Car Parking,Car Parking,Car Parking,Car Parking,"Hospitals, Railway Station, Market","Hospitals, Railway Station, Market","Hospitals, Railway Station, Market","Hospitals, Railway Station, Market","Hospitals, Railway Station, Market","Hospitals, Railway Station, Market"
56 - 65,Female,Goregaon,9lakh - 11lakh,Yes,Building,1485,3 BHK,28500000,"Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market",No,Yes,Dahisar,Building,3Cr - 4Cr,650,3 BHK,Resale House,"Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market"
